;Name;Overview;Platform;Year_of_Release;Genre;Publisher;Global_players;Critic_Score;User_Score;Developer;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
0;Grand Theft Auto V;Grand Theft Auto V (abreviado como GTA V o GTA 5) es un videojuego de acción-aventura de mundo abierto desarrollado por el estudio Rockstar North y;PS3;2013.0;Action;Take-Two Interactive;21.04;97.0;8.2;Rockstar North;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;M
1;Grand Theft Auto: Vice City;Grand Theft Auto: Vice City (también conocido por su abreviatura GTA: VC o. simplemente. Vice City). es un videojuego de acción-aventura de mundo abierto en;PS2;2002.0;Action;Take-Two Interactive;16.15;95.0;8.7;Rockstar North;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;M
2;Call of Duty: Modern Warfare 3;Call of Duty: Modern Warfare 3 (abreviado oficialmente como Call of Duty: MW3 o Modern Warfare 3 ) es un videojuego de disparos en primera persona;X360;2011.0;Shooter;Activision;14.73;88.0;3.4;Infinity Ward;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;M
3;Call of Duty: Black Ops;Call of Duty Black Ops (comúnmente abreviado como CoD BO 1. Black Ops 1. Call of Duty BO o COD Black Ops1). es un videojuego de disparos en primera persona;X360;2010.0;Shooter;Activision;14.61;87.0;6.3;Treyarch;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;M
4;Call of Duty: Modern Warfare 2;En Modern Warfare 2 el antagonista principal es Vladimir Makarov. un antiguo discípulo de Zakhaev quien luego de perpetrar un ataque terrorista en el aeropuerto;X360;2009.0;Shooter;Activision;13.47;94.0;6.3;Infinity Ward;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;M
5;Final Fantasy VII;Ayudado de una gran precampaña publicitaria. Final Fantasy VII se convirtió en un éxito de crítica y comercial de inmediato. Fue originalmente lanzado para Sony;PS;1997.0;Role-Playing;Sony Computer Entertainment;9.72;92.0;9.2;SquareSoft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;T
6;Just Dance 2;"Just Dance 2 es un videojuego creado por Ubisoft para la Wii. Es el sucesor del juego Just Dance y Just Dance Kids y predecesor del juego Just Dance 3.
 Modos de juego: Un jugador. ‎Multijugador‎ (máx.";Wii;2010.0;Misc;Ubisoft;9.44;74.0;7.3;Ubisoft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
7;The Elder Scrolls V: Skyrim;The Elder Scrolls V: Skyrim Anniversary Edition;X360;2011.0;Role-Playing;Bethesda Softworks;8.79;96.0;8.4;Bethesda Game Studios;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;M
8;Final Fantasy X;Final Fantasy X es un RPG (juego de rol) japonés. con un sistema de combate basado en turnos llamado BTV (Batalla por Turnos Variables) controlados por una;PS2;2001.0;Role-Playing;Sony Computer Entertainment;8.05;92.0;8.7;SquareSoft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;T
9;Just Dance;No Encontramos Descripcciones;Wii;2009.0;Misc;Ubisoft;7.2;49.0;8.0;Ubisoft Paris;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
